Marca,descripcion,precioNormal,precioInternet
Convertible,"Convertible 2 en 1  Dell Latitude 13 3390 Touch, Intel Pentium 4415U 2.30GHz, RAM 4GB, Disco Duro HDD 500GB, LED 13.3"" Full HD Gorilla Glass Táctil, Windows 10 Pro","                     S/. 3,999.00                ","                    S/. 2,399.00                "
Convertible," Convertible Acer Chromebook Enterprise Spin 713 CP713-3W Intel Core i5-1135G7 2.4GHz, RAM 8Gb, Sólido SSD 256GB PCIe, LED 13.5'' IPS Táctil, Chrome OS","                     S/. 3,499.00                ","                    S/. 2,499.00                "
Lenovo," Lenovo IdeaPad 3 14IIL05 Intel Core i3-1005G1 1.2 / 3.4GHz, RAM 4GB, Disco Duro 1TB SATA, Pantalla  LED 14"" HD, Windows 10 Home SP","                     S/. 2,999.00                ","                    S/. 2,499.00                "
ASUS," ASUS Vivobook F512DA AMD Ryzen 3 3250U 2.5GHz, RAM 8GB, Sólido SSD 128GB, LED 15.6"" Full HD, Windows 10 S","                     S/. 2,799.00                ","                    S/. 2,499.00                "
HP," HP 340S G7 Intel Core i3-1005G1 1.2GHz, RAM 4GB, Disco Sólido SSD 128GB, LED 14.0"" HD , Win 10 Home","                     S/. 3,499.00                ","                    S/. 2,499.00                "
Convertible,"Convertible 2 en 1 Acer Spin 3 SP513-21 AMD Ryzen 3 2.6GHz, RAM 4Gb, Sólido SSD 128GB PCIe, LED 14"" HD Táctil, Windows 10 Home.","                     S/. 2,999.00                ","                    S/. 2,499.00                "
Lenovo," Lenovo IdeaPad 3 (17) Intel Core i3-10110U 2.1GHz, RAM 8 GB, Disco duro 1 TB, LED 17.3"" HD, Windows 10 Home ","                     S/. 3,099.00                ","                    S/. 2,599.00                "
EVOO," EVOO Ultra Thin Intel Core i7-6660U 2.4GHz, Memoria RAM 8GB, Sólido SSD 256GB, Pantalla LED 15.6"" Full HD, Windows 10 Home.","                     S/. 3,299.00                ","                    S/. 2,599.00                "
HP," HP ProBook 640 G2, Intel Core i5 6300U 2.4GHz, RAM 8GB, Sólido SSD 256GB, LED 14"" HD, DVD±RW, Windows 10 Home SP","                     S/. 3,599.00                ","                    S/. 2,599.00                "
ASUS," ASUS Vivobook X712DA CTO AMD Ryzen 3 3250U 2.5GHz, RAM 8GB, Sólido SSD 256GB, LED 17.3"" Full HD, Windows 10 Home","                     S/. 3,199.00                ","                    S/. 2,699.00                "
Ultrabook," Ultrabook MSI Modern 14 B10MW Intel Core i3-10110U 2.1GHz, RAM 8GB, Sólido SSD 128GB PCIe, Pantalla LED 14"" Full HD, Windows 10 Home - Peso 1.3 Kg","                     S/. 3,299.00                ","                    S/. 2,699.00                "
HP," HP Pavilion 15-CD040WM, AMD A12-9720P 2.7GHz, RAM 12GB,Disco Sólido SSD 256GB, DVD-RW, LED 15.6"" HD, Táctil, Windows 10 Home","                     S/. 3,699.00                ","                    S/. 2,699.00                "
Lenovo," Lenovo V14, AMD Ryzen 5 4500U 2.3GHz, RAM 8 GB, Disco duro 1 TB, Pantalla LED 14"" HD","                     S/. 2,999.00                ","                    S/. 2,699.00                "
Dell," Dell Inspiron 15 3501 Intel Core i3-1115G4 1.7GHz, Memoria RAM 8GB, Sólido SSD 256GB PCIe, Pantalla LED 15.6"" HD, Windows 10 Home","                     S/. 3,399.00                ","                    S/. 2,699.00                "
EVOO," EVOO Ultra Thin Intel Core i7-7560U 2.4GHz, Memoria RAM 8GB, Sólido SSD 256GB, Pantalla LED 15.6"" Full HD, Windows 10 Home.","                     S/. 3,499.00                ","                    S/. 2,799.00                "
Dell," Dell Latitude 5480 CTO, Intel Core i5-7300U 2.6GHz, RAM 8GB, Sólido SSD 256GB, LED 14"" HD, Windows 10 Pro","                     S/. 3,699.00                ","                    S/. 2,799.00                "
Dell," Dell Inspiron 15 3505 AMD Ryzen 5 3450U 2.1GHz, RAM 8GB, Sólido SSD 256GB PCIe, LED 15.6"" HD, Windows 10 Home SP","                     S/. 3,199.00                ","                    S/. 2,799.00                "
Chuwi," Chuwi CoreBook X 14, Intel Core i5-8259U Quad Core 3.8GHz, RAM 8GB, Sólido SSD 512GB, Pantalla LED 14"" IPS con resolución QHD 2K, Windows 10 Home","                     S/. 3,499.00                ","                    S/. 2,799.00                "
HP," HP 245 G7, AMD Ryzen 5 3500U 2.1GHz, Memoria RAM 8GB, Disco duro 1TB, Pantalla LED 14 "" HD","                     S/. 3,099.00                ","                    S/. 2,799.00                "
Gateway," Gateway GWTN141 Ultra Slim, Intel Core i5-1035G1 1.1GHz, RAM 16GB, Sólido SSD 256GB, LED 14.0"" Full HD, Windows 10 Home - Verde","                     S/. 3,399.00                ","                    S/. 2,899.00                "
HP," HP 245 G7, AMD Ryzen 5 3500U 2.1GHz, Memoria RAM 8GB, Disco Sólido SSD 128GB + Disco HDD 1TB, Pantalla LED 14 "" HD","                     S/. 3,199.00                ","                    S/. 2,899.00                "
HP," HP 15-EF1012LA, AMD Ryzen 7 4700U 2.0GHz, RAM 8GB, Sólido SSD 256GB PCIe® NVMe, Video AMD Radeon, LED 15.6"" HD, Windows 10 Home SP","                     S/. 3,799.00                ","                    S/. 2,899.00                "
Lenovo," Lenovo IdeaPad 3 (14) AMD Ryzen 5 4500U 2.3GHz, RAM 8GB, HDD 1TB, Pantalla LED 14"" HD, Windows 10 Home SP","                     S/. 3,899.00                ","                    S/. 2,899.00                "
ACER," ACER Aspire 5 A515-54-51CM, Intel Core i5-1021U 1.6GHz, RAM 8 GB, Disco Duro 1TB, Pantalla LED 15.6"" FHD CineCrystal, FreeDOS","                     S/. 3,299.00                ","                    S/. 2,899.00                "
Gateway," Gateway GWTN141 Ultra Slim, Intel Core i5-1035G1 1.1GHz, RAM 16GB, Sólido SSD 256GB, LED 14.0"" Full HD, Windows 10 Home - Azul","                     S/. 3,399.00                ","                    S/. 2,899.00                "
Acer," Acer Aspire 3 A315-23-R0CH, AMD Ryzen 5 3500U 2.1Ghz, RAM 12GB, Disco Sólido SSD 256GB, Pantalla 15.6"" HD, Windows 10 Home","                     S/. 3,899.00                ","                    S/. 2,999.00                "
Lenovo," Lenovo IdeaPad L340 (17)  AMD Ryzen 5 3500U 2.1GHz, RAM 8GB, HDD 1TB, DVD, LED 17.3"" HD+, Windows 10 Home","                     S/. 3,499.00                ","                    S/. 2,999.00                "
Lenovo," Lenovo IdeaPad S340 (14""), Intel Core i5-1035G4 1.1 / 3.7GHz, RAM 8GB, Sólido SSD 256GB PCIe, Pantalla LED 14"" HD, Windows 10 Home SP",,
Lenovo," Lenovo IdeaPad 3 (14) Intel Core i5-1035G1 1.0 / 3.6GHz, RAM 8GB, Sólido SSD 512GB PCIe, Pantalla  LED 14"" Full HD, Windows 10 Home","                     S/. 3,499.00                ","                    S/. 2,999.00                "
Gateway," Gateway GWTN156 Ultra Slim, Intel Core i5-1035G1 1.1GHz, RAM 16GB, Sólido SSD 256GB, LED 15.6"" Full HD, Windows 10 Home ","                     S/. 3,499.00                ","                    S/. 2,999.00                "
Gateway," Gateway GWTN156 Ultra Slim, verde, Intel Core i5-1035G1 1.1GHz, RAM 16GB, Sólido SSD 256GB, LED 15.6"" Full HD, Windows 10 Home ","                     S/. 3,499.00                ","                    S/. 2,999.00                "
Lenovo," Lenovo IdeaPad S340 (14"") AMD Ryzen 5 3500U 2.1GHz, RAM 8GB, Disco duro 1 TB, Pantalla LED 14 "" HD ","                     S/. 3,399.00                ","                    S/. 2,999.00                "
Chuwi," Chuwi MijaBook 13, Intel Celeron N3450 Quad Core 1.10GHz, RAM 8GB, Sólido SSD 256GB, Pantalla LED 13"" IPS con resolución 3K (3200x1800), Windows 10 Home","                     S/. 2,199.00                ","                    S/. 1,499.00                "
Hyundai," convertible Hyundai HyFlip 2 en 1, Intel Celeron N3350 1.10GHz, RAM 4GB, Sólido SSD 64GB PCIe, LED 11.6"" HD, Windows 10 Pro. Peso 1.1 Kg","                     S/. 2,199.00                ","                    S/. 1,599.00                "
Hyundai," convertible Hyundai HyFlip 2 en 1, Intel Celeron N3350 1.10GHz, RAM 4GB, Sólido SSD 196GB PCIe, LED 11.6"" HD, Windows 10 Pro. Peso 1.1 Kg","                     S/. 2,399.00                ","                    S/. 1,799.00                "
Convertible," Convertible Lenovo IdeaPad Flex 5-13IML05 Core i3-10110U 2.1GHz, RAM 8GB, Sólido SSD 128GB PCIe, LED 13.3"" Full HD Táctil, Chrome OS","                     S/. 2,799.00                ","                    S/. 1,799.00                "
Toshiba," Toshiba Dynabook Tecra A40-G Intel Celeron 5205U 1.9GHz, RAM 4GB, Sólido SSD 128GB, LED 14"" Full HD, Windows 10 Pro","                     S/. 2,499.00                ","                    S/. 1,799.00                "
ASUS," ASUS E410MA Intel Celeron N4020 1.1GHz, RAM 4GB, Sólido SSD 128GB, Pantalla LED 14"" HD, Windows 10 Home - Azul","                     S/. 2,199.00                ","                    S/. 1,899.00                "
Convertible," Convertible ONN Walmart 2-in-1 (13.3""), Intel Core i3-8145U 2.1GHz, RAM 4 GB, Sólido SSD 128GB PCIe, LED 13.3"" Full HD Táctil, Windows 10 Home S","                     S/. 2,799.00                ","                    S/. 1,999.00                "
ASUS," ASUS E410MA Intel Celeron N4020 1.1GHz, RAM 4GB, Sólido SSD 128GB, Pantalla LED 14"" HD, Windows 10 Home - Rosa","                     S/. 2,299.00                ","                    S/. 1,999.00                "
Dell," Dell Latitude 3190, Intel Celeron 1.1 / 2.6GHz, RAM 4 GB, Sólido SSD 128GB PCIe, Pantalla LED 11.6"" HD, Windows 10 Home SP","                     S/. 2,599.00                ","                    S/. 1,999.00                "
Lenovo," Lenovo V14-ADA, AMD Athlon Gold 3150U 2.4GHz, RAM 4 GB, Sólido SSD 128GB, LED 14"" Full HD, Windows 10 Pro","                     S/. 2,499.00                ","                    S/. 2,099.00                "
Lenovo," Lenovo IdeaPad 320-14ISK, Intel Core i3-6006U 2.0GHz, RAM 4GB, HDD 1TB, LED 14"" HD, Windows 10 Home SP","                     S/. 2,699.00                ","                    S/. 2,199.00                "
HP," HP 14-DK1022WM, AMD Ryzen 3 3250U 2.6GHz, RAM 4GB, Sólido SSD 128GB PCIe, LED 14"" HD, Windows 10 Home","                     S/. 2,499.00                ","                    S/. 2,199.00                "
Lenovo," Lenovo IdeaPad 3 14IIL05 Intel Core i3-1005G1 1.2 / 3.4GHz, RAM 4GB, Disco Duro 1TB SATA, Pantalla  LED 14"" HD, Free DOS","                     S/. 2,799.00                ","                    S/. 2,299.00                "
Asus," Asus Vivobook X413JA, Intel Core i3-1005G1 1.2 / 3.4GHz, RAM 4GB, Sólido SSD 128GB PCIe, LED 14"" Full HD, Windows 10 Home","                     S/. 2,699.00                ","                    S/. 2,399.00                "
Convertible,"Convertible ASUS VivoBook Flip TP401MA Intel Pentium Silver N3050 1.1 / 3.2Ghz, RAM 4GB, Sólido SSD 128GB, Pantalla LED 14 "" HD Táctil, Windows 10 S","                     S/. 2,899.00                ","                    S/. 2,399.00                "
2," convertible 2 en 1 Lenovo FLEX 5 14ARE05 AMD Ryzen 3 4300U 2.7GHz, RAM 4 GB, Sólido SSD 128GB PCIe, LED 14"" Full HD Táctil, Windows 10 Home","                     S/. 2,999.00                ","                    S/. 2,399.00                "
Convertible,"Convertible 2 en 1  Dell Latitude 13 3390 Touch, Intel Pentium 4415U 2.30GHz, RAM 4GB, Disco Duro HDD 500GB, LED 13.3"" Full HD Gorilla Glass Táctil, Windows 10 Pro","                     S/. 3,999.00                ","                    S/. 2,399.00                "
Convertible," Convertible Acer Chromebook Enterprise Spin 713 CP713-3W Intel Core i5-1135G7 2.4GHz, RAM 8Gb, Sólido SSD 256GB PCIe, LED 13.5'' IPS Táctil, Chrome OS","                     S/. 3,499.00                ","                    S/. 2,499.00                "
Lenovo," Lenovo IdeaPad 3 14IIL05 Intel Core i3-1005G1 1.2 / 3.4GHz, RAM 4GB, Disco Duro 1TB SATA, Pantalla  LED 14"" HD, Windows 10 Home SP","                     S/. 2,999.00                ","                    S/. 2,499.00                "
ASUS," ASUS Vivobook F512DA AMD Ryzen 3 3250U 2.5GHz, RAM 8GB, Sólido SSD 128GB, LED 15.6"" Full HD, Windows 10 S","                     S/. 2,799.00                ","                    S/. 2,499.00                "
HP," HP 340S G7 Intel Core i3-1005G1 1.2GHz, RAM 4GB, Disco Sólido SSD 128GB, LED 14.0"" HD , Win 10 Home","                     S/. 3,499.00                ","                    S/. 2,499.00                "
Convertible,"Convertible 2 en 1 Acer Spin 3 SP513-21 AMD Ryzen 3 2.6GHz, RAM 4Gb, Sólido SSD 128GB PCIe, LED 14"" HD Táctil, Windows 10 Home.","                     S/. 2,999.00                ","                    S/. 2,499.00                "
Lenovo," Lenovo IdeaPad 3 (17) Intel Core i3-10110U 2.1GHz, RAM 8 GB, Disco duro 1 TB, LED 17.3"" HD, Windows 10 Home ","                     S/. 3,099.00                ","                    S/. 2,599.00                "
EVOO," EVOO Ultra Thin Intel Core i7-6660U 2.4GHz, Memoria RAM 8GB, Sólido SSD 256GB, Pantalla LED 15.6"" Full HD, Windows 10 Home.","                     S/. 3,299.00                ","                    S/. 2,599.00                "
HP," HP ProBook 640 G2, Intel Core i5 6300U 2.4GHz, RAM 8GB, Sólido SSD 256GB, LED 14"" HD, DVD±RW, Windows 10 Home SP","                     S/. 3,599.00                ","                    S/. 2,599.00                "
ASUS," ASUS Vivobook X712DA CTO AMD Ryzen 3 3250U 2.5GHz, RAM 8GB, Sólido SSD 256GB, LED 17.3"" Full HD, Windows 10 Home","                     S/. 3,199.00                ","                    S/. 2,699.00                "
Ultrabook," Ultrabook MSI Modern 14 B10MW Intel Core i3-10110U 2.1GHz, RAM 8GB, Sólido SSD 128GB PCIe, Pantalla LED 14"" Full HD, Windows 10 Home - Peso 1.3 Kg","                     S/. 3,299.00                ","                    S/. 2,699.00                "
HP," HP Pavilion 15-CD040WM, AMD A12-9720P 2.7GHz, RAM 12GB,Disco Sólido SSD 256GB, DVD-RW, LED 15.6"" HD, Táctil, Windows 10 Home","                     S/. 3,699.00                ","                    S/. 2,699.00                "
Lenovo," Lenovo V14, AMD Ryzen 5 4500U 2.3GHz, RAM 8 GB, Disco duro 1 TB, Pantalla LED 14"" HD","                     S/. 2,999.00                ","                    S/. 2,699.00                "
Dell," Dell Inspiron 15 3501 Intel Core i3-1115G4 1.7GHz, Memoria RAM 8GB, Sólido SSD 256GB PCIe, Pantalla LED 15.6"" HD, Windows 10 Home","                     S/. 3,399.00                ","                    S/. 2,699.00                "
EVOO," EVOO Ultra Thin Intel Core i7-7560U 2.4GHz, Memoria RAM 8GB, Sólido SSD 256GB, Pantalla LED 15.6"" Full HD, Windows 10 Home.","                     S/. 3,499.00                ","                    S/. 2,799.00                "
Dell," Dell Latitude 5480 CTO, Intel Core i5-7300U 2.6GHz, RAM 8GB, Sólido SSD 256GB, LED 14"" HD, Windows 10 Pro","                     S/. 3,699.00                ","                    S/. 2,799.00                "
Dell," Dell Inspiron 15 3505 AMD Ryzen 5 3450U 2.1GHz, RAM 8GB, Sólido SSD 256GB PCIe, LED 15.6"" HD, Windows 10 Home SP","                     S/. 3,199.00                ","                    S/. 2,799.00                "
Chuwi," Chuwi CoreBook X 14, Intel Core i5-8259U Quad Core 3.8GHz, RAM 8GB, Sólido SSD 512GB, Pantalla LED 14"" IPS con resolución QHD 2K, Windows 10 Home","                     S/. 3,499.00                ","                    S/. 2,799.00                "
HP," HP 245 G7, AMD Ryzen 5 3500U 2.1GHz, Memoria RAM 8GB, Disco duro 1TB, Pantalla LED 14 "" HD","                     S/. 3,099.00                ","                    S/. 2,799.00                "
Gateway," Gateway GWTN141 Ultra Slim, Intel Core i5-1035G1 1.1GHz, RAM 16GB, Sólido SSD 256GB, LED 14.0"" Full HD, Windows 10 Home - Verde","                     S/. 3,399.00                ","                    S/. 2,899.00                "
HP," HP 245 G7, AMD Ryzen 5 3500U 2.1GHz, Memoria RAM 8GB, Disco Sólido SSD 128GB + Disco HDD 1TB, Pantalla LED 14 "" HD","                     S/. 3,199.00                ","                    S/. 2,899.00                "
HP," HP 15-EF1012LA, AMD Ryzen 7 4700U 2.0GHz, RAM 8GB, Sólido SSD 256GB PCIe® NVMe, Video AMD Radeon, LED 15.6"" HD, Windows 10 Home SP","                     S/. 3,799.00                ","                    S/. 2,899.00                "
Lenovo," Lenovo IdeaPad 3 (14) AMD Ryzen 5 4500U 2.3GHz, RAM 8GB, HDD 1TB, Pantalla LED 14"" HD, Windows 10 Home SP","                     S/. 3,899.00                ","                    S/. 2,899.00                "
ACER," ACER Aspire 5 A515-54-51CM, Intel Core i5-1021U 1.6GHz, RAM 8 GB, Disco Duro 1TB, Pantalla LED 15.6"" FHD CineCrystal, FreeDOS","                     S/. 3,299.00                ","                    S/. 2,899.00                "
Gateway," Gateway GWTN141 Ultra Slim, Intel Core i5-1035G1 1.1GHz, RAM 16GB, Sólido SSD 256GB, LED 14.0"" Full HD, Windows 10 Home - Azul","                     S/. 3,399.00                ","                    S/. 2,899.00                "
Acer," Acer Aspire 3 A315-23-R0CH, AMD Ryzen 5 3500U 2.1Ghz, RAM 12GB, Disco Sólido SSD 256GB, Pantalla 15.6"" HD, Windows 10 Home","                     S/. 3,899.00                ","                    S/. 2,999.00                "
Lenovo," Lenovo IdeaPad L340 (17)  AMD Ryzen 5 3500U 2.1GHz, RAM 8GB, HDD 1TB, DVD, LED 17.3"" HD+, Windows 10 Home","                     S/. 3,499.00                ","                    S/. 2,999.00                "
Lenovo," Lenovo IdeaPad S340 (14""), Intel Core i5-1035G4 1.1 / 3.7GHz, RAM 8GB, Sólido SSD 256GB PCIe, Pantalla LED 14"" HD, Windows 10 Home SP",,
Lenovo," Lenovo IdeaPad 3 (14) Intel Core i5-1035G1 1.0 / 3.6GHz, RAM 8GB, Sólido SSD 512GB PCIe, Pantalla  LED 14"" Full HD, Windows 10 Home","                     S/. 3,499.00                ","                    S/. 2,999.00                "
Gateway," Gateway GWTN156 Ultra Slim, Intel Core i5-1035G1 1.1GHz, RAM 16GB, Sólido SSD 256GB, LED 15.6"" Full HD, Windows 10 Home ","                     S/. 3,499.00                ","                    S/. 2,999.00                "
Gateway," Gateway GWTN156 Ultra Slim, verde, Intel Core i5-1035G1 1.1GHz, RAM 16GB, Sólido SSD 256GB, LED 15.6"" Full HD, Windows 10 Home ","                     S/. 3,499.00                ","                    S/. 2,999.00                "
Lenovo," Lenovo IdeaPad S340 (14"") AMD Ryzen 5 3500U 2.1GHz, RAM 8GB, Disco duro 1 TB, Pantalla LED 14 "" HD ","                     S/. 3,399.00                ","                    S/. 2,999.00                "
Chuwi," Chuwi MijaBook 13, Intel Celeron N3450 Quad Core 1.10GHz, RAM 8GB, Sólido SSD 256GB, Pantalla LED 13"" IPS con resolución 3K (3200x1800), Windows 10 Home","                     S/. 2,199.00                ","                    S/. 1,499.00                "
Hyundai," convertible Hyundai HyFlip 2 en 1, Intel Celeron N3350 1.10GHz, RAM 4GB, Sólido SSD 64GB PCIe, LED 11.6"" HD, Windows 10 Pro. Peso 1.1 Kg","                     S/. 2,199.00                ","                    S/. 1,599.00                "
Hyundai," convertible Hyundai HyFlip 2 en 1, Intel Celeron N3350 1.10GHz, RAM 4GB, Sólido SSD 196GB PCIe, LED 11.6"" HD, Windows 10 Pro. Peso 1.1 Kg","                     S/. 2,399.00                ","                    S/. 1,799.00                "
Convertible," Convertible Lenovo IdeaPad Flex 5-13IML05 Core i3-10110U 2.1GHz, RAM 8GB, Sólido SSD 128GB PCIe, LED 13.3"" Full HD Táctil, Chrome OS","                     S/. 2,799.00                ","                    S/. 1,799.00                "
Toshiba," Toshiba Dynabook Tecra A40-G Intel Celeron 5205U 1.9GHz, RAM 4GB, Sólido SSD 128GB, LED 14"" Full HD, Windows 10 Pro","                     S/. 2,499.00                ","                    S/. 1,799.00                "
ASUS," ASUS E410MA Intel Celeron N4020 1.1GHz, RAM 4GB, Sólido SSD 128GB, Pantalla LED 14"" HD, Windows 10 Home - Azul","                     S/. 2,199.00                ","                    S/. 1,899.00                "
Convertible," Convertible ONN Walmart 2-in-1 (13.3""), Intel Core i3-8145U 2.1GHz, RAM 4 GB, Sólido SSD 128GB PCIe, LED 13.3"" Full HD Táctil, Windows 10 Home S","                     S/. 2,799.00                ","                    S/. 1,999.00                "
ASUS," ASUS E410MA Intel Celeron N4020 1.1GHz, RAM 4GB, Sólido SSD 128GB, Pantalla LED 14"" HD, Windows 10 Home - Rosa","                     S/. 2,299.00                ","                    S/. 1,999.00                "
Dell," Dell Latitude 3190, Intel Celeron 1.1 / 2.6GHz, RAM 4 GB, Sólido SSD 128GB PCIe, Pantalla LED 11.6"" HD, Windows 10 Home SP","                     S/. 2,599.00                ","                    S/. 1,999.00                "
Lenovo," Lenovo V14-ADA, AMD Athlon Gold 3150U 2.4GHz, RAM 4 GB, Sólido SSD 128GB, LED 14"" Full HD, Windows 10 Pro","                     S/. 2,499.00                ","                    S/. 2,099.00                "
Lenovo," Lenovo IdeaPad 320-14ISK, Intel Core i3-6006U 2.0GHz, RAM 4GB, HDD 1TB, LED 14"" HD, Windows 10 Home SP","                     S/. 2,699.00                ","                    S/. 2,199.00                "
HP," HP 14-DK1022WM, AMD Ryzen 3 3250U 2.6GHz, RAM 4GB, Sólido SSD 128GB PCIe, LED 14"" HD, Windows 10 Home","                     S/. 2,499.00                ","                    S/. 2,199.00                "
Lenovo," Lenovo IdeaPad 3 14IIL05 Intel Core i3-1005G1 1.2 / 3.4GHz, RAM 4GB, Disco Duro 1TB SATA, Pantalla  LED 14"" HD, Free DOS","                     S/. 2,799.00                ","                    S/. 2,299.00                "
Asus," Asus Vivobook X413JA, Intel Core i3-1005G1 1.2 / 3.4GHz, RAM 4GB, Sólido SSD 128GB PCIe, LED 14"" Full HD, Windows 10 Home","                     S/. 2,699.00                ","                    S/. 2,399.00                "
Convertible,"Convertible ASUS VivoBook Flip TP401MA Intel Pentium Silver N3050 1.1 / 3.2Ghz, RAM 4GB, Sólido SSD 128GB, Pantalla LED 14 "" HD Táctil, Windows 10 S","                     S/. 2,899.00                ","                    S/. 2,399.00                "
2," convertible 2 en 1 Lenovo FLEX 5 14ARE05 AMD Ryzen 3 4300U 2.7GHz, RAM 4 GB, Sólido SSD 128GB PCIe, LED 14"" Full HD Táctil, Windows 10 Home","                     S/. 2,999.00                ","                    S/. 2,399.00                "
Convertible,"Convertible 2 en 1  Dell Latitude 13 3390 Touch, Intel Pentium 4415U 2.30GHz, RAM 4GB, Disco Duro HDD 500GB, LED 13.3"" Full HD Gorilla Glass Táctil, Windows 10 Pro","                     S/. 3,999.00                ","                    S/. 2,399.00                "
Convertible," Convertible Acer Chromebook Enterprise Spin 713 CP713-3W Intel Core i5-1135G7 2.4GHz, RAM 8Gb, Sólido SSD 256GB PCIe, LED 13.5'' IPS Táctil, Chrome OS","                     S/. 3,499.00                ","                    S/. 2,499.00                "
Lenovo," Lenovo IdeaPad 3 14IIL05 Intel Core i3-1005G1 1.2 / 3.4GHz, RAM 4GB, Disco Duro 1TB SATA, Pantalla  LED 14"" HD, Windows 10 Home SP","                     S/. 2,999.00                ","                    S/. 2,499.00                "
ASUS," ASUS Vivobook F512DA AMD Ryzen 3 3250U 2.5GHz, RAM 8GB, Sólido SSD 128GB, LED 15.6"" Full HD, Windows 10 S","                     S/. 2,799.00                ","                    S/. 2,499.00                "
HP," HP 340S G7 Intel Core i3-1005G1 1.2GHz, RAM 4GB, Disco Sólido SSD 128GB, LED 14.0"" HD , Win 10 Home","                     S/. 3,499.00                ","                    S/. 2,499.00                "
Convertible,"Convertible 2 en 1 Acer Spin 3 SP513-21 AMD Ryzen 3 2.6GHz, RAM 4Gb, Sólido SSD 128GB PCIe, LED 14"" HD Táctil, Windows 10 Home.","                     S/. 2,999.00                ","                    S/. 2,499.00                "
Lenovo," Lenovo IdeaPad 3 (17) Intel Core i3-10110U 2.1GHz, RAM 8 GB, Disco duro 1 TB, LED 17.3"" HD, Windows 10 Home ","                     S/. 3,099.00                ","                    S/. 2,599.00                "
EVOO," EVOO Ultra Thin Intel Core i7-6660U 2.4GHz, Memoria RAM 8GB, Sólido SSD 256GB, Pantalla LED 15.6"" Full HD, Windows 10 Home.","                     S/. 3,299.00                ","                    S/. 2,599.00                "
HP," HP ProBook 640 G2, Intel Core i5 6300U 2.4GHz, RAM 8GB, Sólido SSD 256GB, LED 14"" HD, DVD±RW, Windows 10 Home SP","                     S/. 3,599.00                ","                    S/. 2,599.00                "
ASUS," ASUS Vivobook X712DA CTO AMD Ryzen 3 3250U 2.5GHz, RAM 8GB, Sólido SSD 256GB, LED 17.3"" Full HD, Windows 10 Home","                     S/. 3,199.00                ","                    S/. 2,699.00                "
Ultrabook," Ultrabook MSI Modern 14 B10MW Intel Core i3-10110U 2.1GHz, RAM 8GB, Sólido SSD 128GB PCIe, Pantalla LED 14"" Full HD, Windows 10 Home - Peso 1.3 Kg","                     S/. 3,299.00                ","                    S/. 2,699.00                "
HP," HP Pavilion 15-CD040WM, AMD A12-9720P 2.7GHz, RAM 12GB,Disco Sólido SSD 256GB, DVD-RW, LED 15.6"" HD, Táctil, Windows 10 Home","                     S/. 3,699.00                ","                    S/. 2,699.00                "
Lenovo," Lenovo V14, AMD Ryzen 5 4500U 2.3GHz, RAM 8 GB, Disco duro 1 TB, Pantalla LED 14"" HD","                     S/. 2,999.00                ","                    S/. 2,699.00                "
Dell," Dell Inspiron 15 3501 Intel Core i3-1115G4 1.7GHz, Memoria RAM 8GB, Sólido SSD 256GB PCIe, Pantalla LED 15.6"" HD, Windows 10 Home","                     S/. 3,399.00                ","                    S/. 2,699.00                "
EVOO," EVOO Ultra Thin Intel Core i7-7560U 2.4GHz, Memoria RAM 8GB, Sólido SSD 256GB, Pantalla LED 15.6"" Full HD, Windows 10 Home.","                     S/. 3,499.00                ","                    S/. 2,799.00                "
Dell," Dell Latitude 5480 CTO, Intel Core i5-7300U 2.6GHz, RAM 8GB, Sólido SSD 256GB, LED 14"" HD, Windows 10 Pro","                     S/. 3,699.00                ","                    S/. 2,799.00                "
Dell," Dell Inspiron 15 3505 AMD Ryzen 5 3450U 2.1GHz, RAM 8GB, Sólido SSD 256GB PCIe, LED 15.6"" HD, Windows 10 Home SP","                     S/. 3,199.00                ","                    S/. 2,799.00                "
Chuwi," Chuwi CoreBook X 14, Intel Core i5-8259U Quad Core 3.8GHz, RAM 8GB, Sólido SSD 512GB, Pantalla LED 14"" IPS con resolución QHD 2K, Windows 10 Home","                     S/. 3,499.00                ","                    S/. 2,799.00                "
HP," HP 245 G7, AMD Ryzen 5 3500U 2.1GHz, Memoria RAM 8GB, Disco duro 1TB, Pantalla LED 14 "" HD","                     S/. 3,099.00                ","                    S/. 2,799.00                "
Gateway," Gateway GWTN141 Ultra Slim, Intel Core i5-1035G1 1.1GHz, RAM 16GB, Sólido SSD 256GB, LED 14.0"" Full HD, Windows 10 Home - Verde","                     S/. 3,399.00                ","                    S/. 2,899.00                "
HP," HP 245 G7, AMD Ryzen 5 3500U 2.1GHz, Memoria RAM 8GB, Disco Sólido SSD 128GB + Disco HDD 1TB, Pantalla LED 14 "" HD","                     S/. 3,199.00                ","                    S/. 2,899.00                "
HP," HP 15-EF1012LA, AMD Ryzen 7 4700U 2.0GHz, RAM 8GB, Sólido SSD 256GB PCIe® NVMe, Video AMD Radeon, LED 15.6"" HD, Windows 10 Home SP","                     S/. 3,799.00                ","                    S/. 2,899.00                "
Lenovo," Lenovo IdeaPad 3 (14) AMD Ryzen 5 4500U 2.3GHz, RAM 8GB, HDD 1TB, Pantalla LED 14"" HD, Windows 10 Home SP","                     S/. 3,899.00                ","                    S/. 2,899.00                "
